clade	inclusive_count	exclusive_count
19A	7935075	13359
19B	6949	6949
20A	7914767	125275
20B	4541282	113732
20C	148962	104026
20D	7604	6201
20E	112458	112458
20F	11458	11458
20G	83739	83739
20H (Beta)	8337	8337
20I (Alpha)	626175	626175
20J (Gamma)	28976	28976
21A (Delta)	2884653	2168
21B (Kappa)	1055	1055
21C (Epsilon)	44933	44933
21D (Eta)	2908	2908
21E (Theta)	49	49
21F (Iota)	3	3
21G (Lambda)	1403	1403
21H (Mu)	6098	6098
21I (Delta)	198559	198559
21J (Delta)	2683926	2683926
21K (BA.1)	1100606	1100606
21L (BA.2)	2650749	1019444
21M (Omicron)	3753288	1933
22A (BA.4)	1017071	96696
22B (BA.5)	920375	729237
22C (BA.2.12.1)	167244	167244
22D (BA.2.75)	62656	33905
22E (BQ.1)	191138	191138
22F (XBB)	360276	28890
23A (XBB.1.5)	159718	155265
23B (XBB.1.16)	43898	43898
23C (CH.1.1)	28751	28751
23D (XBB.1.9)	113190	47407
23E (XBB.2.3)	14580	14580
23F (EG.5.1)	65783	59209
23G (XBB.1.5.70)	4453	4453
23H (HK.3)	6574	6574
23I (BA.2.86)	24058	24058
A	6949	1153
A.1	2659	2659
A.11	10	10
A.12	6	6
A.18	4	4
A.19	4	4
A.2	1646	199
A.2.2	216	216
A.2.3	205	205
A.2.4	2	2
A.2.5	1024	859
A.2.5.1	48	48
A.2.5.2	111	111
A.2.5.3	6	6
A.21	141	141
A.23	21	21
A.23.1	398	377
A.24	2	2
A.25	19	19
A.26	19	19
A.27	143	143
A.28	128	128
A.29	111	111
A.3	219	219
A.4	32	32
A.5	127	127
A.6	124	124
A.7	4	4
AA.1	2301	80
AA.2	133	133
AA.3	32	32
AA.4	113	113
AA.5	67	67
AA.6	62	62
AA.7	101	101
AA.8	46	46
AC.1	25	25
AD.2	4882	4882
AE.1	4	4
AE.2	13	13
AE.4	17	17
AE.6	30	30
AE.7	15	15
AF.1	25	25
AG.1	3	3
AH.1	7	7
AH.2	104	104
AH.3	8	8
AK.1	82	82
AK.2	4	4
AM.3	34	34
AN.1	23	23
AP.1	613	613
AQ.1	2	2
AS.1	114	114
AS.2	69	69
AT.1	5	5
AU.2	3	3
AV.1	266	266
AY.1	823	823
AY.10	1384	1384
AY.100	66006	66006
AY.101	799	799
AY.102	45	45
AY.103	239311	239304
AY.103.1	7	7
AY.104	48	48
AY.105	824	824
AY.106	885	885
AY.107	3168	3168
AY.108	433	433
AY.109	1158	1158
AY.11	720	720
AY.110	2082	2082
AY.111	7661	7661
AY.112	2674	2430
AY.112.1	84	84
AY.112.2	158	158
AY.112.3	2	2
AY.113	7760	7760
AY.114	4396	4396
AY.116	4430	670
AY.116.1	3760	3760
AY.117	12888	12888
AY.118	17506	17506
AY.119	39494	30043
AY.119.1	79	79
AY.119.2	9372	9372
AY.120	34531	30158
AY.120.1	3151	3151
AY.120.2	1222	14
AY.120.2.1	1208	1208
AY.121	16721	14786
AY.121.1	1935	1935
AY.122	98602	96614
AY.122.1	204	204
AY.122.2	51	51
AY.122.3	1056	1056
AY.122.4	393	393
AY.122.5	19	19
AY.122.6	265	265
AY.123	177	118
AY.123.1	59	59
AY.124	2298	2078
AY.124.1	220	139
AY.124.1.1	81	81
AY.125	11384	11382
AY.125.1	2	2
AY.126	22786	22786
AY.127	11248	11174
AY.127.1	74	74
AY.128	115	115
AY.129	9743	9743
AY.13	5128	5128
AY.130	61	61
AY.131	93	93
AY.132	539	539
AY.133	62	62
AY.134	774	774
AY.14	11103	11103
AY.15	99	99
AY.16	1449	1322
AY.16.1	127	127
AY.17	195	195
AY.19	4	4
AY.2	2561	2561
AY.20	20644	20598
AY.20.1	46	46
AY.21	36	36
AY.22	43	43
AY.23	1832	1655
AY.23.1	12	12
AY.23.2	165	165
AY.24	465	447
AY.24.1	18	18
AY.25	174789	117126
AY.25.1	56562	56546
AY.25.1.2	16	16
AY.25.2	2	2
AY.25.3	1099	1099
AY.26	33572	33568
AY.26.1	4	4
AY.27	240	240
AY.28	32	32
AY.29	1096	1044
AY.29.1	25	25
AY.29.2	27	27
AY.3	153403	139013
AY.3.1	13340	13340
AY.3.3	754	754
AY.3.4	296	296
AY.30	514	514
AY.31	29	29
AY.32	612	612
AY.33	9829	9419
AY.33.1	34	34
AY.33.2	376	376
AY.34	10277	5632
AY.34.1	4203	3831
AY.34.1.1	372	372
AY.34.2	442	442
AY.35	1191	1191
AY.36	10987	8958
AY.36.1	2029	2029
AY.37	1939	1939
AY.38	7225	793
AY.39	54480	42719
AY.39.1	11442	6749
AY.39.1.1	4687	4687
AY.39.1.2	4	4
AY.39.1.4	2	2
AY.39.2	297	297
AY.39.3	22	22
AY.4	1002132	828962
AY.4.1	1596	1596
AY.4.10	1485	1485
AY.4.11	392	392
AY.4.12	6	6
AY.4.13	297	297
AY.4.14	755	755
AY.4.15	1324	1324
AY.4.16	3	3
AY.4.17	6	6
AY.4.2	142259	89031
AY.4.2.1	18675	18675
AY.4.2.2	30179	30179
AY.4.2.3	3490	3490
AY.4.2.4	33	33
AY.4.2.5	851	851
AY.4.3	1823	1823
AY.4.4	1277	1277
AY.4.5	3355	3355
AY.4.6	11661	11661
AY.4.7	987	987
AY.4.8	4654	4654
AY.4.9	1290	1290
AY.41	1425	1425
AY.42	11427	11400
AY.42.1	27	27
AY.43	138824	127678
AY.43.1	199	199
AY.43.2	172	172
AY.43.3	262	262
AY.43.4	3000	3000
AY.43.5	14	14
AY.43.6	6114	6114
AY.43.7	69	69
AY.43.8	772	772
AY.43.9	544	544
AY.44	199434	199434
AY.45	826	826
AY.46	41184	5171
AY.46.1	1262	1262
AY.46.2	899	899
AY.46.3	210	210
AY.46.4	4986	4986
AY.46.5	13915	13915
AY.46.6	14741	14736
AY.46.6.1	5	5
AY.47	32280	32280
AY.48	1463	1463
AY.49	165	165
AY.5	54640	51427
AY.5.1	25	25
AY.5.2	36	36
AY.5.3	1908	1908
AY.5.4	1016	1016
AY.5.5	221	221
AY.5.6	7	7
AY.50	49	49
AY.51	945	945
AY.52	974	974
AY.53	378	378
AY.54	10682	10682
AY.55	53	53
AY.56	239	239
AY.57	1397	1397
AY.58	571	571
AY.59	49	49
AY.6	27973	27973
AY.60	624	624
AY.61	246	246
